"series_id","series_label","episode_id","episode_label","phase","start_year","end_year","start_date","end_date","duration_years","average_growth","cumulative_growth","start_index_value","end_index_value","episode_index_end_100"
"gdp","Real GDP",1,"1830-1831","expansion",1830,1831,"1830-12-31","1831-12-31",1,0.207547169811321,0.20754716981132,100,120.754716981132,120.754716981132
"gdp","Real GDP",2,"1831-1832","contraction",1831,1832,"1831-12-31","1832-12-31",1,-0.015625,-0.0156249999999986,120.754716981132,118.867924528302,98.4375000000001
"gdp","Real GDP",3,"1832-1836","expansion",1832,1836,"1832-12-31","1836-12-31",4,0.115063204769087,0.492063492063493,118.867924528302,177.358490566038,149.206349206349
"gdp","Real GDP",4,"1836-1838","contraction",1836,1838,"1836-12-31","1838-12-31",2,-0.0269426456984274,-0.0531914893617024,177.358490566038,167.924528301887,94.6808510638298
"gdp","Real GDP",5,"1838-1839","expansion",1838,1839,"1838-12-31","1839-12-31",1,0.191011235955056,0.191011235955055,167.924528301887,200,119.101123595505
"gdp","Real GDP",6,"1839-1840","contraction",1839,1840,"1839-12-31","1840-12-31",1,-0.00943396226415094,-0.00943396226415005,200,198.11320754717,99.056603773585
"gdp","Real GDP",7,"1840-1842","expansion",1840,1842,"1840-12-31","1842-12-31",2,0.130429732868757,0.276190476190474,198.11320754717,252.830188679245,127.619047619047
"gdp","Real GDP",8,"1842-1843","contraction",1842,1843,"1842-12-31","1843-12-31",1,-0.17910447761194,-0.179104477611938,252.830188679245,207.547169811321,82.0895522388062
"gdp","Real GDP",9,"1843-1846","expansion",1843,1846,"1843-12-31","1846-12-31",3,0.0735771747209033,0.236363636363637,207.547169811321,256.603773584906,123.636363636364
"gdp","Real GDP",10,"1846-1847","contraction",1846,1847,"1846-12-31","1847-12-31",1,-0.213235294117647,-0.213235294117649,256.603773584906,201.88679245283,78.6764705882351
"gdp","Real GDP",11,"1847-1848","expansion",1847,1848,"1847-12-31","1848-12-31",1,0.0747663551401869,0.0747663551401894,201.88679245283,216.981132075472,107.476635514019
"gdp","Real GDP",12,"1848-1849","contraction",1848,1849,"1848-12-31","1849-12-31",1,-0.0173913043478261,-0.017391304347829,216.981132075472,213.207547169811,98.2608695652171
"gdp","Real GDP",13,"1849-1851","expansion",1849,1851,"1849-12-31","1851-12-31",2,0.139736369824866,0.283185840707965,213.207547169811,273.584905660377,128.318584070796
"gdp","Real GDP",14,"1851-1852","contraction",1851,1852,"1851-12-31","1852-12-31",1,-0.186206896551724,-0.186206896551724,273.584905660377,222.641509433962,81.3793103448276
"gdp","Real GDP",15,"1852-1855","expansion",1852,1855,"1852-12-31","1855-12-31",3,0.132114817394594,0.440677966101696,222.641509433962,320.754716981132,144.06779661017
"gdp","Real GDP",16,"1855-1857","contraction",1855,1857,"1855-12-31","1857-12-31",2,-0.118796260225944,-0.223529411764705,320.754716981132,249.056603773585,77.6470588235295
"gdp","Real GDP",17,"1857-1858","expansion",1857,1858,"1857-12-31","1858-12-31",1,0.242424242424242,0.242424242424242,249.056603773585,309.433962264151,124.242424242424
"gdp","Real GDP",18,"1858-1859","contraction",1858,1859,"1858-12-31","1859-12-31",1,-0.237804878048781,-0.237804878048779,309.433962264151,235.849056603774,76.2195121951221
"gdp","Real GDP",19,"1859-1861","expansion",1859,1861,"1859-12-31","1861-12-31",2,0.170714285714286,0.367999999999997,235.849056603774,322.641509433962,136.8
"gdp","Real GDP",20,"1861-1862","contraction",1861,1862,"1861-12-31","1862-12-31",1,-0.146198830409357,-0.146198830409355,322.641509433962,275.471698113208,85.3801169590645
"gdp","Real GDP",21,"1862-1865","expansion",1862,1865,"1862-12-31","1865-12-31",3,0.0560354645350507,0.171232876712326,275.471698113208,322.641509433962,117.123287671233
"gdp","Real GDP",22,"1865-1868","contraction",1865,1868,"1865-12-31","1868-12-31",3,-0.1111917101705,-0.298245614035086,322.641509433962,226.415094339623,70.1754385964914
