"country_code","maddison_country","region","series_id","series_label","episode_id","episode_label","phase","start_year","end_year","start_date","end_date","duration_years","average_growth","cumulative_growth","start_index_value","end_index_value","episode_index_end_100"
"AFG","Afghanistan","South and South East Asia","imf_weo_gdp_growth","IMF WEO real GDP growth",1,"2003-2019","expansion",2003,2019,"2003-01-01","2019-01-01",16,0.0649375,1.68009083027431,108.7,291.325873250818,268.009083027431
"AFG","Afghanistan","South and South East Asia","imf_weo_gdp_growth","IMF WEO real GDP growth",2,"2019-2022","contraction",2019,2022,"2019-01-01","2022-01-01",3,-0.077,-0.21725776,291.325873250818,228.033066598301,78.274224
"AFG","Afghanistan","South and South East Asia","imf_weo_gdp_growth","IMF WEO real GDP growth",3,"2022-2025","expansion",2022,2025,"2022-01-01","2025-01-01",3,0.024,0.0737101099999999,228.033066598301,244.841409020899,107.371011
"AGO","Angola","Sub Saharan Africa","imf_weo_gdp_growth","IMF WEO real GDP growth",1,"1980-1981","contraction",1980,1981,"1980-01-01","1981-01-01",1,-0.044,-0.0440000000000002,102.4,97.8944,95.6
"AGO","Angola","Sub Saharan Africa","imf_weo_gdp_growth","IMF WEO real GDP growth",2,"1981-1989","expansion",1981,1989,"1981-01-01","1989-01-01",8,0.0335,0.299258067565468,97.8944,127.190088969481,129.925806756547
"AGO","Angola","Sub Saharan Africa","imf_weo_gdp_growth","IMF WEO real GDP growth",3,"1989-1990","contraction",1989,1990,"1989-01-01","1990-01-01",1,-0.035,-0.0349999999999999,127.190088969481,122.738435855549,96.5
"AGO","Angola","Sub Saharan Africa","imf_weo_gdp_growth","IMF WEO real GDP growth",4,"1990-2015","expansion",1990,2015,"1990-01-01","2015-01-01",25,0.07848,5.49091616984747,122.738435855549,796.684897956569,649.091616984747
"AGO","Angola","Sub Saharan Africa","imf_weo_gdp_growth","IMF WEO real GDP growth",5,"2015-2020","contraction",2015,2020,"2015-01-01","2020-01-01",5,-0.0132,-0.06479425772416,796.684897956569,745.064291353425,93.520574227584
"AGO","Angola","Sub Saharan Africa","imf_weo_gdp_growth","IMF WEO real GDP growth",6,"2020-2031","expansion",2020,2031,"2020-01-01","2031-01-01",11,0.0295454545454545,0.376892691138533,745.064291353425,1025.87357719284,137.689269113853
"ALB","Albania","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",1,"1980-1984","expansion",1980,1984,"1980-01-01","1984-01-01",4,0.02925,0.12160952666,102.7,115.189298387982,112.160952666
"ALB","Albania","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",2,"1984-1985","contraction",1984,1985,"1984-01-01","1985-01-01",1,-0.015,-0.015,115.189298387982,113.461458912162,98.5
"ALB","Albania","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",3,"1985-1986","expansion",1985,1986,"1985-01-01","1986-01-01",1,0.056,0.056,113.461458912162,119.815300611243,105.6
"ALB","Albania","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",4,"1986-1988","contraction",1986,1988,"1986-01-01","1988-01-01",2,-0.011,-0.021888,119.815300611243,117.192783311464,97.8112
"ALB","Albania","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",5,"1988-1989","expansion",1988,1989,"1988-01-01","1989-01-01",1,0.098,0.0979999999999999,117.192783311464,128.677676075988,109.8
"ALB","Albania","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",6,"1989-1992","contraction",1989,1992,"1989-01-01","1992-01-01",3,-0.150666666666667,-0.398656,128.677676075988,77.3795484422389,60.1344
"ALB","Albania","Eastern Europe","imf_weo_gdp_growth","IMF WEO real GDP growth",7,"1992-1996","expansion",1992,1996,"1992-01-01","1996-01-01",4,0.0925,0.424559215376,77.3795484422389,110.231748815025,142.4559215376
