"source_label","disaster_key","disaster_label","country_code","country","start_year","end_year","cumulative_growth","duration_years","is_venezuela","horizon_years_after_end","endpoint_year","horizon_index_start_100","horizon_years","horizon_label","fall_magnitude","horizon_ratio_to_start","total_years_from_start","horizon_cagr","post_disaster_ratio_to_end","post_disaster_cagr","highlight","reference_label","is_source_reference"
"FMI WEO (PIB per cápita)","imf_weo_VEN_84","Venezuela (2012-2020)","VEN","Venezuela",2012,2020,-0.740142005551907,8,TRUE,5,2025,29.5122282307894,5,"5 años después",0.740142005551907,0.295122282307894,13,-0.0896027794680785,1.13570599563311,0.0257775352827327,"Venezuela","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_COD_5","D.R. of the Congo (1986-2002)","COD","D.R. of the Congo",1986,2002,-0.69801802394496,16,FALSE,5,2007,36.9791210000736,5,"5 años después",0.69801802394496,0.369791210000736,21,-0.0462676717275109,1.22454728865453,0.0413461415754686,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_LBN_5","Lebanon (1987-1990)","LBN","Lebanon",1987,1990,-0.660906166826934,3,FALSE,5,1995,54.6996129062888,5,"5 años después",0.660906166826934,0.546996129062888,8,-0.0726407000329282,1.613111403249,0.100355129307021,"Otros países","Lebanon (1987-1990)",TRUE
"FMI WEO (PIB per cápita)","imf_weo_GNQ_9","Equatorial Guinea (2012-2021)","GNQ","Equatorial Guinea",2012,2021,-0.541399602348268,9,FALSE,5,2026,35.6075991547037,5,"5 años después",0.541399602348268,0.356075991547037,14,-0.0711034814619926,0.776440651535253,-0.0493478098739222,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_ZWE_1","Zimbabwe (1999-2008)","ZWE","Zimbabwe",1999,2008,-0.517677307450364,9,FALSE,5,2013,76.333035289587,5,"5 años después",0.517677307450364,0.76333035289587,14,-0.0191054450901725,1.58261339283205,0.0961625672853956,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_SAU_1","Saudi Arabia (1981-1987)","SAU","Saudi Arabia",1981,1987,-0.514265033806677,6,FALSE,5,1992,51.4957276880594,5,"5 años después",0.514265033806677,0.514957276880594,11,-0.058549735524087,1.06016101932353,0.0117526867543749,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_SLE_9","Sierra Leone (1994-1999)","SLE","Sierra Leone",1994,1999,-0.5089084635662,5,FALSE,5,2004,75.4410326353365,5,"5 años después",0.5089084635662,0.754410326353365,10,-0.0277884809057594,1.53619085319965,0.0896550476177493,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_LBY_17","Libya (2010-2011)","LBY","Libya",2010,2011,-0.490855115875769,1,FALSE,5,2016,56.1204222890619,5,"5 años después",0.490855115875769,0.561204222890619,6,-0.0917888660235024,1.10224857479602,0.0196612358868193,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_UKR_1","Ukraine (1992-1998)","UKR","Ukraine",1992,1998,-0.479242122620685,6,FALSE,5,2003,72.1058629580822,5,"5 años después",0.479242122620685,0.721058629580822,11,-0.0292928368311725,1.38463316812318,0.0672519233392754,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_ARE_1","United Arab Emirates (1981-1986)","ARE","United Arab Emirates",1981,1986,-0.44743808581,5,FALSE,5,1991,61.8623570955686,5,"5 años después",0.44743808581,0.618623570955686,10,-0.0468908335510234,1.11955521194856,0.0228432964629668,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_LBY_19","Libya (2012-2016)","LBY","Libya",2012,2016,-0.42518756081544,4,FALSE,5,2021,60.875775582844,5,"5 años después",0.42518756081544,0.60875775582844,9,-0.0536552226400374,1.0590545964733,0.0115414181124367,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_CMR_2","Cameroon (1986-1994)","CMR","Cameroon",1986,1994,-0.424060089825231,8,FALSE,5,1999,62.5128813680904,5,"5 años después",0.424060089825231,0.625128813680904,13,-0.0354930809726766,1.08540631173,0.0165259469648593,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_TKM_1","Turkmenistan (1993-1997)","TKM","Turkmenistan",1993,1997,-0.415268957396298,4,FALSE,5,2002,113.284865715522,5,"5 años después",0.415268957396298,1.13284865715522,9,0.0139559764006083,1.93738415547574,0.141413878169115,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_ALB_6","Albania (1989-1992)","ALB","Albania",1989,1992,-0.402174797659377,3,FALSE,5,1997,78.2672356317942,5,"5 años después",0.402174797659377,0.782672356317942,8,-0.0301657900253167,1.30919933327267,0.0553612769096237,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_RWA_5","Rwanda (1992-1994)","RWA","Rwanda",1992,1994,-0.401575493224078,2,FALSE,5,1999,90.4337474452569,5,"5 años después",0.401575493224078,0.904337474452569,7,-0.0142619883701037,1.5111972591577,0.0860860397943768,"Otros países","",FALSE
"FMI WEO (PIB per cápita)","imf_weo_LBY_21","Libya (2018-2020)","LBY","Libya",2018,2020,-0.39137715259049,2,FALSE,5,2025,89.2797855099818,5,"5 años después",0.39137715259049,0.892797855099818,7,-0.0160687955421533,1.46691478786879,0.0796449988139387,"Otros países","",FALSE
