"source_label","disaster_key","disaster_label","country_code","country","start_year","end_year","cumulative_growth","duration_years","recovery_year","years_to_recover","is_venezuela"
"FMI WEO, PIB pc","imf_weo_VEN_84","Venezuela (2012-2020)","VEN","Venezuela",2012,2020,-0.740142005551907,8,NA,NA,TRUE
"FMI WEO, PIB pc","imf_weo_COD_5","D.R. of the Congo (1986-2002)","COD","D.R. of the Congo",1986,2002,-0.69801802394496,16,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_LBN_5","Lebanon (1987-1990)","LBN","Lebanon",1987,1990,-0.660906166826934,3,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_SDN_12","Sudan (Former) (2016-2024)","SDN","Sudan (Former)",2016,2024,-0.556584938512729,8,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_GNQ_9","Equatorial Guinea (2012-2021)","GNQ","Equatorial Guinea",2012,2021,-0.541399602348268,9,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_ZWE_1","Zimbabwe (1999-2008)","ZWE","Zimbabwe",1999,2008,-0.517677307450364,9,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_SAU_1","Saudi Arabia (1981-1987)","SAU","Saudi Arabia",1981,1987,-0.514265033806677,6,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_SLE_9","Sierra Leone (1994-1999)","SLE","Sierra Leone",1994,1999,-0.5089084635662,5,2013,19,FALSE
"FMI WEO, PIB pc","imf_weo_LBY_17","Libya (2010-2011)","LBY","Libya",2010,2011,-0.490855115875769,1,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_UKR_1","Ukraine (1992-1998)","UKR","Ukraine",1992,1998,-0.479242122620685,6,2008,16,FALSE
"FMI WEO, PIB pc","imf_weo_ARE_1","United Arab Emirates (1981-1986)","ARE","United Arab Emirates",1981,1986,-0.44743808581,5,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_LBY_19","Libya (2012-2016)","LBY","Libya",2012,2016,-0.42518756081544,4,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_CMR_2","Cameroon (1986-1994)","CMR","Cameroon",1986,1994,-0.424060089825231,8,NA,NA,FALSE
"FMI WEO, PIB pc","imf_weo_TKM_1","Turkmenistan (1993-1997)","TKM","Turkmenistan",1993,1997,-0.415268957396298,4,2002,9,FALSE
"FMI WEO, PIB pc","imf_weo_ALB_6","Albania (1989-1992)","ALB","Albania",1989,1992,-0.402174797659377,3,2000,11,FALSE
"FMI WEO, PIB pc","imf_weo_RWA_5","Rwanda (1992-1994)","RWA","Rwanda",1992,1994,-0.401575493224078,2,2001,9,FALSE
"FMI WEO, PIB pc","imf_weo_LBY_21","Libya (2018-2020)","LBY","Libya",2018,2020,-0.39137715259049,2,NA,NA,FALSE
