"country","country_code","year","indicator_value","gdp_per_capita","highlight_group"
"Afghanistan","AFG",2024,0.25,2236.195,"Resto del mundo"
"Albania","ALB",2024,6.2,21812.893,"Resto del mundo"
"Algeria","DZA",2024,3.55,17717.506,"Resto del mundo"
"Angola","AGO",2024,4.05,10027.325,"Resto del mundo"
"Argentina","ARG",2024,6.51,29587.354,"LatAm emergente"
"Armenia","ARM",2024,5.35,22849.16,"Resto del mundo"
"Australia","AUS",2024,8.85,69646.633,"Resto del mundo"
"Austria","AUT",2024,8.28,73465.66,"Resto del mundo"
"Azerbaijan","AZE",2024,2.8,25033.573,"Resto del mundo"
"Bahrain","BHR",2024,2.45,67230.023,"Resto del mundo"
"Bangladesh","BGD",2024,4.44,9747.476,"Resto del mundo"
"Belarus","BLR",2024,1.99,32520.348,"Resto del mundo"
"Belgium","BEL",2024,7.64,73804.776,"Resto del mundo"
"Benin","BEN",2024,4.44,4429.499,"Resto del mundo"
"Bolivia","BOL",2024,4.26,12896.31,"LatAm emergente"
"Bosnia and Herzegovina","BIH",2024,5.06,21756.271,"Resto del mundo"
"Botswana","BWA",2024,7.63,20567.941,"Resto del mundo"
"Brazil","BRA",2024,6.49,22309.326,"LatAm emergente"
"Bulgaria","BGR",2024,6.34,39289.627,"Resto del mundo"
"Burkina Faso","BFA",2024,2.55,2899.406,"Resto del mundo"
"Burundi","BDI",2024,2.13,958.395,"Resto del mundo"
"Cambodia","KHM",2024,2.94,7873.678,"Resto del mundo"
"Cameroon","CMR",2024,2.56,5597.089,"Resto del mundo"
"Canada","CAN",2024,8.69,64801.549,"Resto del mundo"
"Cape Verde","CPV",2024,7.58,11503.81,"Resto del mundo"
"Central African Republic","CAF",2024,1.18,1379.706,"Resto del mundo"
"Chad","TCD",2024,1.89,3109.989,"Resto del mundo"
"Chile","CHL",2024,7.83,34114.494,"LatAm emergente"
"China","CHN",2024,2.11,27132.068,"Resto del mundo"
"Colombia","COL",2024,6.35,21499.476,"LatAm emergente"
"Comoros","COM",2024,2.84,3861.608,"Resto del mundo"
"Congo","COG",2024,2.79,6369.716,"Resto del mundo"
"Costa Rica","CRI",2024,8.29,30325.932,"LatAm emergente"
"Cote d'Ivoire","CIV",2024,4.22,7668.666,"Resto del mundo"
"Croatia","HRV",2024,6.5,48735.646,"Resto del mundo"
"Cyprus","CYP",2024,7.38,61754.437,"Resto del mundo"
"Czechia","CZE",2024,8.08,56963.63,"Resto del mundo"
"Democratic Republic of Congo","COD",2024,1.92,1929.988,"Resto del mundo"
"Denmark","DNK",2024,9.28,81806.125,"Resto del mundo"
"Djibouti","DJI",2024,2.7,8764.288,"Resto del mundo"
"Dominican Republic","DOM",2024,6.62,29192.843,"LatAm emergente"
"Ecuador","ECU",2024,5.24,15997.318,"LatAm emergente"
"Egypt","EGY",2024,2.79,20916.957,"Resto del mundo"
"El Salvador","SLV",2024,4.61,13283.263,"LatAm emergente"
"Equatorial Guinea","GNQ",2024,1.92,20930.447,"Resto del mundo"
"Estonia","EST",2024,8.13,47743.406,"Resto del mundo"
"Eswatini","SWZ",2024,2.6,12765.737,"Resto del mundo"
"Ethiopia","ETH",2024,3.24,4089.031,"Resto del mundo"
"Finland","FIN",2024,9.3,64446.667,"Resto del mundo"
"France","FRA",2024,7.99,64053.78,"Resto del mundo"
