"country_code","country","maddison_country","region","series_id","series_label","episode_id","episode_label","phase","start_year","end_year","start_date","end_date","duration_years","average_growth","cumulative_growth","start_index_value","end_index_value","episode_index_end_100"
"AFG","Afghanistan","Afghanistan","South and South East Asia","wdi_real_gdp_per_capita_growth","WDI real GDP per capita growth",1,"2001-2003","expansion",2001,2003,"2001-01-01","2003-01-01",2,0.121829309529784,0.248823832633767,89.8805158940674,112.244930337929,124.882383263377
"AFG","Afghanistan","Afghanistan","South and South East Asia","wdi_real_gdp_per_capita_growth","WDI real GDP per capita growth",2,"2003-2004","contraction",2003,2004,"2003-01-01","2004-01-01",1,-0.0214821228495553,-0.0214821228495552,112.244930337929,109.83367095517,97.8517877150445
"AFG","Afghanistan","Afghanistan","South and South East Asia","wdi_real_gdp_per_capita_growth","WDI real GDP per capita growth",3,"2004-2010","expansion",2004,2010,"2004-01-01","2010-01-01",6,0.0833072860997926,0.603104774152149,109.83367095517,176.07488227089,160.310477415215
"AFG","Afghanistan","Afghanistan","South and South East Asia","wdi_real_gdp_per_capita_growth","WDI real GDP per capita growth",4,"2010-2011","contraction",2010,2011,"2010-01-01","2011-01-01",1,-0.0321329500579925,-0.0321329500579925,176.07488227089,170.417076872412,96.7867049942007
"AFG","Afghanistan","Afghanistan","South and South East Asia","wdi_real_gdp_per_capita_growth","WDI real GDP per capita growth",5,"2011-2013","expansion",2011,2013,"2011-01-01","2013-01-01",2,0.0516571862685845,0.105013355570033,170.417076872412,188.313145961221,110.501335557003
"AFG","Afghanistan","Afghanistan","South and South East Asia","wdi_real_gdp_per_capita_growth","WDI real GDP per capita growth",6,"2013-2018","contraction",2013,2018,"2013-01-01","2018-01-01",5,-0.00962895094303658,-0.0473277647635482,188.313145961221,179.400705687284,95.2672235236452
"AFG","Afghanistan","Afghanistan","South and South East Asia","wdi_real_gdp_per_capita_growth","WDI real GDP per capita growth",7,"2018-2019","expansion",2018,2019,"2018-01-01","2019-01-01",1,0.00856294729087764,0.0085629472908777,179.400705687284,180.936904474031,100.856294729088
"AFG","Afghanistan","Afghanistan","South and South East Asia","wdi_real_gdp_per_capita_growth","WDI real GDP per capita growth",8,"2019-2022","contraction",2019,2022,"2019-01-01","2022-01-01",3,-0.118478884756772,-0.32301188628423,180.936904474031,122.492133661445,67.698811371577
"AFG","Afghanistan","Afghanistan","South and South East Asia","wdi_real_gdp_per_capita_growth","WDI real GDP per capita growth",9,"2022-2023","expansion",2022,2023,"2022-01-01","2023-01-01",1,0.0010609280092082,0.00106092800920821,122.492133661445,122.622088996954,100.106092800921
"AGO","Angola","Angola","Sub Saharan Africa","wdi_real_gdp_per_capita_growth","WDI real GDP per capita growth",1,"1981-1982","contraction",1981,1982,"1981-01-01","1982-01-01",1,-0.0361121699593038,-0.0361121699593039,92.1804623292259,88.8516258066657,96.3887830040696
"AGO","Angola","Angola","Sub Saharan Africa","wdi_real_gdp_per_capita_growth","WDI real GDP per capita growth",2,"1982-1984","expansion",1982,1984,"1982-01-01","1984-01-01",2,0.0127121620667644,0.025509834101141,88.8516258066657,91.1182160406103,102.550983410114
"AGO","Angola","Angola","Sub Saharan Africa","wdi_real_gdp_per_capita_growth","WDI real GDP per capita growth",3,"1984-1986","contraction",1984,1986,"1984-01-01","1986-01-01",2,-0.00497510642625322,-0.00993218426154796,91.1182160406103,90.2132131293115,99.0067815738452
"AGO","Angola","Angola","Sub Saharan Africa","wdi_real_gdp_per_capita_growth","WDI real GDP per capita growth",4,"1986-1988","expansion",1986,1988,"1986-01-01","1988-01-01",2,0.0155346614334047,0.0312057473711558,90.2132131293115,93.028383867765,103.120574737116
"AGO","Angola","Angola","Sub Saharan Africa","wdi_real_gdp_per_capita_growth","WDI real GDP per capita growth",5,"1988-1994","contraction",1988,1994,"1988-01-01","1994-01-01",6,-0.0824508292343601,-0.419969309366908,93.028383867765,53.9593177433001,58.0030690633092
"AGO","Angola","Angola","Sub Saharan Africa","wdi_real_gdp_per_capita_growth","WDI real GDP per capita growth",6,"1994-1998","expansion",1994,1998,"1994-01-01","1998-01-01",4,0.0648240726596289,0.281728341747808,53.9593177433001,69.1611868529631,128.172834174781
"AGO","Angola","Angola","Sub Saharan Africa","wdi_real_gdp_per_capita_growth","WDI real GDP per capita growth",7,"1998-2000","contraction",1998,2000,"1998-01-01","2000-01-01",2,-0.00716863544090558,-0.0143030157855925,69.1611868529631,68.1719733056549,98.5696984214407
"AGO","Angola","Angola","Sub Saharan Africa","wdi_real_gdp_per_capita_growth","WDI real GDP per capita growth",8,"2000-2002","expansion",2000,2002,"2000-01-01","2002-01-01",2,0.053134935155101,0.107028117354328,68.1719733056549,75.4682912648886,110.702811735433
"AGO","Angola","Angola","Sub Saharan Africa","wdi_real_gdp_per_capita_growth","WDI real GDP per capita growth",9,"2002-2003","contraction",2002,2003,"2002-01-01","2003-01-01",1,-0.000654379872422197,-0.000654379872422117,75.4682912648886,75.4189063340788,99.9345620127578
"AGO","Angola","Angola","Sub Saharan Africa","wdi_real_gdp_per_capita_growth","WDI real GDP per capita growth",10,"2003-2008","expansion",2003,2008,"2003-01-01","2008-01-01",5,0.0817590059329489,0.480897510639979,75.4189063340788,111.687670645327,148.089751063998
