"country_code","country","region","series_id","series_label","episode_id","episode_label","phase","start_year","end_year","start_date","end_date","duration_years","average_growth","cumulative_growth","start_index_value","end_index_value","episode_index_end_100"
"AFG","Afghanistan","South and South East Asia","maddison_gdp","Maddison GDP",1,"1950-1956","expansion",1950,1956,1950-01-01,1956-01-01,6,0.0350982461974489,0.229247882480311,9421400,11581236,122.924788248031
"AFG","Afghanistan","South and South East Asia","maddison_gdp","Maddison GDP",2,"1956-1957","contraction",1956,1957,1956-01-01,1957-01-01,1,-0.000195402286940705,-0.000195402286940705,11581236,11578973,99.9804597713059
"AFG","Afghanistan","South and South East Asia","maddison_gdp","Maddison GDP",3,"1957-1970","expansion",1957,1970,1957-01-01,1970-01-01,13,0.0243336802036302,0.365598831606223,11578973,15812232,136.559883160622
"AFG","Afghanistan","South and South East Asia","maddison_gdp","Maddison GDP",4,"1970-1972","contraction",1970,1972,1970-01-01,1972-01-01,2,-0.0837502536718904,-0.167065535087014,15812232,13170553,83.2934464912986
"AFG","Afghanistan","South and South East Asia","maddison_gdp","Maddison GDP",5,"1972-1976","expansion",1972,1976,1972-01-01,1976-01-01,4,0.0503082585061281,0.21662355407552,13170553,16023605,121.662355407552
"AFG","Afghanistan","South and South East Asia","maddison_gdp","Maddison GDP",6,"1976-1977","contraction",1976,1977,1976-01-01,1977-01-01,1,-0.050940159845428,-0.050940159845428,16023605,15207360,94.9059840154572
"AFG","Afghanistan","South and South East Asia","maddison_gdp","Maddison GDP",7,"1977-1978","expansion",1977,1978,1977-01-01,1978-01-01,1,0.0743370315426215,0.0743370315426215,15207360,16337830,107.433703154262
"AFG","Afghanistan","South and South East Asia","maddison_gdp","Maddison GDP",8,"1978-1980","contraction",1978,1980,1978-01-01,1980-01-01,2,-0.0313246649829511,-0.0616969328240041,16337830,15329836,93.8303067175996
"AFG","Afghanistan","South and South East Asia","maddison_gdp","Maddison GDP",9,"1980-1986","expansion",1980,1986,1980-01-01,1986-01-01,6,0.0237787253532643,0.150784913811211,15329836,17641344,115.078491381121
"AFG","Afghanistan","South and South East Asia","maddison_gdp","Maddison GDP",10,"1986-1991","contraction",1986,1991,1986-01-01,1991-01-01,5,-0.0731428791560825,-0.31709498797908,17641344,12047362.2363852,68.290501202092
"AFG","Afghanistan","South and South East Asia","maddison_gdp","Maddison GDP",11,"1991-1992","expansion",1991,1992,1991-01-01,1992-01-01,1,0.0523083076421922,0.0523083076421922,12047362.2363852,12677539.3665229,105.230830764219
"AFG","Afghanistan","South and South East Asia","maddison_gdp","Maddison GDP",12,"1992-1994","contraction",1992,1994,1992-01-01,1994-01-01,2,-0.209472323828502,-0.375284417932543,12677539.3665229,7919856.38454049,62.4715582067457
"AFG","Afghanistan","South and South East Asia","maddison_gdp","Maddison GDP",13,"1994-1995","expansion",1994,1995,1994-01-01,1995-01-01,1,0.554008735478905,0.554008735478905,7919856.38454049,12307526.0053143,155.40087354789
"AFG","Afghanistan","South and South East Asia","maddison_gdp","Maddison GDP",14,"1995-2001","contraction",1995,2001,1995-01-01,2001-01-01,6,-0.0182235714329131,-0.10450949283893,12307526.0053143,11021272.704397,89.549050716107
"AFG","Afghanistan","South and South East Asia","maddison_gdp","Maddison GDP",15,"2001-2014","expansion",2001,2014,2001-01-01,2014-01-01,13,0.155252896744418,4.8383553084871,11021272.704397,64346106,583.83553084871
"AFG","Afghanistan","South and South East Asia","maddison_gdp","Maddison GDP",16,"2014-2015","contraction",2014,2015,2014-01-01,2015-01-01,1,-0.0242860694631623,-0.0242860694631623,64346106,62783392,97.5713930536838
"AFG","Afghanistan","South and South East Asia","maddison_gdp","Maddison GDP",17,"2015-2019","expansion",2015,2019,2015-01-01,2019-01-01,4,0.0394498818805701,0.164092990575899,62783392,73085706.551779,116.40929905759
"AFG","Afghanistan","South and South East Asia","maddison_gdp","Maddison GDP",18,"2019-2022","contraction",2019,2022,2019-01-01,2022-01-01,3,-0.0962154991217338,-0.270671717546282,73085706.551779,53303472.8313254,72.9328282453718
"AGO","Angola","Sub Saharan Africa","maddison_gdp","Maddison GDP",1,"1950-1953","expansion",1950,1953,1950-01-01,1953-01-01,3,0.0373146486004973,0.11617245166227,6905243.709,7707442.8,111.617245166227
"AGO","Angola","Sub Saharan Africa","maddison_gdp","Maddison GDP",2,"1953-1954","contraction",1953,1954,1953-01-01,1954-01-01,1,-0.0275702805086013,-0.0275702805086013,7707442.8,7494946.44,97.2429719491399
"AGO","Angola","Sub Saharan Africa","maddison_gdp","Maddison GDP",3,"1954-1955","expansion",1954,1955,1954-01-01,1955-01-01,1,0.079994120678466,0.079994120678466,7494946.44,8094498.09,107.999412067847
