"country_code","country","maddison_country","region","series_id","series_label","episode_id","episode_label","phase","start_year","end_year","start_date","end_date","duration_years","average_growth","cumulative_growth","start_index_value","end_index_value","episode_index_end_100"
"AFG","Afghanistan","Afghanistan","South and South East Asia","wdi_real_gdp_growth","WDI real GDP growth",1,"2001-2019","expansion",2001,2019,2001-01-01,2019-01-01,18,0.0788339898748647,2.75696834342027,90.5680259299138,340.261206344752,375.696834342027
"AFG","Afghanistan","Afghanistan","South and South East Asia","wdi_real_gdp_growth","WDI real GDP growth",2,"2019-2022","contraction",2019,2022,2019-01-01,2022-01-01,3,-0.0977670401069055,-0.274320955854133,340.261206344752,246.920426980179,72.5679044145867
"AFG","Afghanistan","Afghanistan","South and South East Asia","wdi_real_gdp_growth","WDI real GDP growth",3,"2022-2023","expansion",2022,2023,2022-01-01,2023-01-01,1,0.0226694373649188,0.0226694373649186,246.920426980179,252.517974133726,102.266943736492
"AGO","Angola","Angola","Sub Saharan Africa","wdi_real_gdp_growth","WDI real GDP growth",1,"1981-1989","expansion",1981,1989,1981-01-01,1989-01-01,8,0.0335665817509728,0.299937365976124,95.5999987813496,124.274010603148,129.993736597612
"AGO","Angola","Angola","Sub Saharan Africa","wdi_real_gdp_growth","WDI real GDP growth",2,"1989-1990","contraction",1989,1990,1989-01-01,1990-01-01,1,-0.0345009868500237,-0.0345009868500237,124.274010603148,119.986434597529,96.5499013149976
"AGO","Angola","Angola","Sub Saharan Africa","wdi_real_gdp_growth","WDI real GDP growth",3,"1990-1991","expansion",1990,1991,1990-01-01,1991-01-01,1,0.00991359302044742,0.00991359302044748,119.986434597529,121.175931278104,100.991359302045
"AGO","Angola","Angola","Sub Saharan Africa","wdi_real_gdp_growth","WDI real GDP growth",4,"1991-1993","contraction",1991,1993,1991-01-01,1993-01-01,2,-0.149108490875947,-0.284214789355232,121.175931278104,86.7359394949736,71.5785210644768
"AGO","Angola","Angola","Sub Saharan Africa","wdi_real_gdp_growth","WDI real GDP growth",5,"1993-2015","expansion",1993,2015,1993-01-01,2015-01-01,22,0.07242648378675,3.56103399152809,86.7359394949736,395.605568323698,456.103399152809
"AGO","Angola","Angola","Sub Saharan Africa","wdi_real_gdp_growth","WDI real GDP growth",6,"2015-2020","contraction",2015,2020,2015-01-01,2020-01-01,5,-0.0133829306152155,-0.0656663088242783,395.605568323698,369.62761090155,93.4333691175722
"AGO","Angola","Angola","Sub Saharan Africa","wdi_real_gdp_growth","WDI real GDP growth",7,"2020-2024","expansion",2020,2024,2020-01-01,2024-01-01,4,0.0300149247206383,0.125184935157547,369.62761090155,415.8994194047,112.518493515755
